Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1961","1961","ha","1400","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1961","1961","100 g/ha","85714","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1961","1961","t","12000","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1962","1962","ha","1450","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1962","1962","100 g/ha","84138","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1962","1962","t","12200","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1963","1963","ha","1480","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1963","1963","100 g/ha","83108","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1963","1963","t","12300","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1964","1964","ha","1480","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1964","1964","100 g/ha","83784","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1964","1964","t","12400","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1965","1965","ha","1500","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1965","1965","100 g/ha","83333","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1965","1965","t","12500","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1966","1966","ha","1530","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1966","1966","100 g/ha","82353","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1966","1966","t","12600","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1967","1967","ha","1530","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1967","1967","100 g/ha","83007","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1967","1967","t","12700","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1968","1968","ha","1550","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1968","1968","100 g/ha","82581","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1968","1968","t","12800","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1969","1969","ha","1550","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1969","1969","100 g/ha","83226","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1969","1969","t","12900","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1970","1970","ha","1560","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1970","1970","100 g/ha","83333","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1970","1970","t","13000","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1971","1971","ha","1560","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1971","1971","100 g/ha","83333","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1971","1971","t","13000","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1972","1972","ha","1580","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1972","1972","100 g/ha","82911","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1972","1972","t","13100","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1973","1973","ha","1580","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1973","1973","100 g/ha","83544","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1973","1973","t","13200","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1974","1974","ha","1600","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1974","1974","100 g/ha","83125","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1974","1974","t","13300","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1975","1975","ha","1625","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1975","1975","100 g/ha","81834","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1975","1975","t","13298","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1976","1976","ha","1800","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1976","1976","100 g/ha","85389","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1976","1976","t","15370","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1977","1977","ha","1800","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1977","1977","100 g/ha","85667","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1977","1977","t","15420","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1978","1978","ha","1750","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1978","1978","100 g/ha","88571","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1978","1978","t","15500","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1979","1979","ha","1680","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1979","1979","100 g/ha","93155","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1979","1979","t","15650","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1980","1980","ha","1570","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1980","1980","100 g/ha","100000","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1980","1980","t","15700","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1981","1981","ha","1730","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1981","1981","100 g/ha","106012","X","Figure from international organizations",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1981","1981","t","18340","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1982","1982","ha","1647","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01311","Avocados","1982","1982","100 g/ha","100000","X","Figure from international organizations",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01311","Avocados","1982","1982","t","16470","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01311","Avocados","1983","1983","ha","1727","X","Figure from international organizations","Unofficial figure"
