Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1961","1961","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1961","1961","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1961","1961","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1961","1961","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1962","1962","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1962","1962","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1962","1962","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1962","1962","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1963","1963","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1963","1963","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1963","1963","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1963","1963","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1964","1964","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1964","1964","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1964","1964","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1964","1964","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1965","1965","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1965","1965","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1965","1965","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1965","1965","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1966","1966","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1966","1966","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1966","1966","t","9","A","Official figure",""
