Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1961","1961","kg/ha","4.63","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1962","1962","kg/ha","8.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1963","1963","kg/ha","7.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1964","1964","kg/ha","10.63","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1965","1965","kg/ha","8.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1966","1966","kg/ha","8.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1967","1967","kg/ha","9.36","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1968","1968","kg/ha","10.55","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1969","1969","kg/ha","10.79","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1970","1970","kg/ha","12.63","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1971","1971","kg/ha","15.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1972","1972","kg/ha","21.51","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1973","1973","kg/ha","24.72","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1974","1974","kg/ha","24.06","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1975","1975","kg/ha","21.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1976","1976","kg/ha","27.82","E","Estimated value",""
"RFN","Fertilizers by Nutrient","170","Colombia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1977","1977","kg/ha","27.98","E","Estimated value",""
