Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2000","2000","%","0.74","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2001","2001","%","0.76","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2002","2002","%","0.79","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2003","2003","%","0.82","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2004","2004","%","0.85","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2005","2005","%","0.87","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2006","2006","%","0.9","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2007","2007","%","0.93","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2008","2008","%","0.96","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_AGR","6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322))","2009","2009","%","1.22","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
